1;AHUACHAPAN
2;SANTA ANA
3;SONSONATE
4;CHALATENANGO
5;LA LIBERTAD
6;SAN SALVADOR
7;CUSCATLAN
8;LA PAZ
9;CABAÑAS
10;SAN VICENTE
11;USULUTAN
12;SAN MIGUEL
13;MORAZAN
14;LA UNION
